title,rating,number_of_reviews,bought_in_last_month,total_price,listed_price,is_sponsored,is_couponed,buy_box_availability
meta quest 3 512gb | thirty percent sharper resolution — 2x graphical processing power — play without wires — get batman: arkham shadow and a 3-month trial of meta horizon+ included,4.5,3316,9000,69.95,69.95,0,no,0
"original hp 962 cyan, magenta, yellow / 962xl black ink cartridges (4-pack) | works with hp officejet 9010 series, hp officejet pro 9010, 9020 series",4.6,6350,10000,154.89,154.89,0,no,1
"anker iphone 16 charger, 2-pack 20w fast usb c charger block, for iphone 16/16 pro max/15 series/ipad pro and more (black, 2 pack & 2 cable)",4.6,19724,10000,11.89,18.99,0,no,1
"peak design slide lite camera strap, black, configurable as a sling, neck or shoulder strap, quick release and connection, smooth and grippy side, camera straps for photographers, 200 lb capacity",4.7,7235,500,69.95,69.95,1,no,1
"razer seiren v3 chroma rgb usb microphone: stream & game reactive lighting - tap-to-mute sensor - condenser mic - digital gain limiter & shock absorber - pc, discord, obs studio, xsplit - quartz pink",4.5,171,200,134.39,134.39,1,no,1
escort max 360c radar detector with extra mount & obdii cord bundle,4.4,1465,50,569.95,569.95,1,no,1
"hp printer paper | 8.5 x 11 paper | office 20 lb | 3 ream case - 1500 sheets | 92 bright | made in usa - fsc certified | 112090c, white",4.8,48326,40000,19.99,21.44,0,no,1
"amazon basics 9 inch thermal laminator machine for documents and photos, easy to use for home office or school, white",4.6,2740,40000,20.69,29.99,0,no,1
"apple 20w usb-c compact power adapter: fast and convenient charging, type c wall charger",4.8,5591,10000,69.95,69.95,0,no,0
"apple 2024 mac mini desktop computer with m4 chip with 10‑core cpu and 10‑core gpu: built for apple intelligence, 16gb unified memory, 256gb ssd storage, gigabit ethernet. works with iphone/ipad",4.8,1356,5000,69.95,69.95,0,no,0
"logitech m185 wireless mouse, 2.4ghz with usb mini receiver, 12-month battery life, 1000 dpi optical tracking, ambidextrous pc/mac/laptop - swift grey",4.5,43204,10000,69.95,69.95,0,no,0
"hp 936 black, cyan, magenta, yellow ink cartridges printers (4-pack) | works with officejet 9120, officejet pro 9110, 9120, 9130, wide format 9730 | eligible for instant ink | 6c3z5ln",4.6,885,10000,135.0,135.0,0,no,1
"samsung 990 pro ssd nvme m.2 pcie gen4, m.2 2280 internal solid state hard drive, seq. read speeds up to 7,450 mb/s for high end computing, gaming, and heavy duty workstations, mz-v9p2t0b/am",4.7,14168,10000,149.99,199.99,0,no,1
"fitbit inspire 3 health &-fitness-tracker with stress management, workout intensity, sleep tracking, 24/7 heart rate and more, midnight zen/black one size (s & l bands included)",4.3,20039,10000,79.95,99.95,0,no,1
"texas instruments ti-84 plus graphics calculator, black 320 x 240 pixels (2.8"" diagonal)",4.7,18748,10000,103.99,103.99,0,no,1
"hp original 952 cyan, magenta, yellow / 952xl black ink cartridges (4-pack) | works officejet 8702 officejet pro 7700, 8210, 8700 series | eligible for instant ink | n9k28an",4.6,2617,10000,166.62,166.62,0,no,1
"hp 64 black & tri-color ink cartridges for hp printers (combo pack) | works with printer series: inspire 7950e; envy photo 6200, 7100, 7800; tango | eligible for instant ink | x4d92an",4.6,23765,20000,69.95,69.95,0,no,0
"logitech h390 gaming headphones, wired headphones with mic, usb headset with microphone for pc, noise cancelling microphone for video meetings, music, gaming - black",4.3,69082,10000,69.95,69.95,0,no,0
"rca 10.1"" wifi digital picture frame uhale app photo frames electronic hd ips touch screen display with 32gb memory led lights, support usb/sd card, slideshow, instantly share photos videos",4.0,5,200,59.99,79.99,1,no,0
"pyle dash cam, rearview mirror monitor, night vision, 7.4” lcd screen, backup camera, slim bar design, waterproof ip-69, g-sensor, audio recording, 32gb memory slot, universal mount, includes cables",3.8,30,200,139.99,139.99,1,no,1
"myq smart garage security camera – 1080p hd video, night vision, motion detection, magnetic, wi-fi, two-way audio, smartphone control",4.2,5284,2000,29.22,49.99,1,no,1
amazon basics 8-sheet cross cut paper shredder and credit card shredder - black,4.4,64543,30000,30.58,33.99,0,no,1
"anker usb c charger(nano ii 65w), pps 3-port fast compact foldable wall charger for macbook pro/air, ipad pro, galaxy s20, dell xps 13, note 20/10+, iphone 16/16 pro, steam deck, and more",4.6,17279,10000,25.99,39.99,0,no,1
"hp deskjet 2855e wireless all-in-one color inkjet printer, scanner, copier, best-for-home, 3 months of instant ink included, single-band wi-fi connectivity (588s5a)",3.9,11214,20000,59.99,89.99,0,no,1
"sceptre new 27-inch gaming monitor 100hz 1ms displayport hdmi x2 100% srgb amd freesync build-in speakers, eye care frameless machine black 2024 (e275w-fw100t)",4.4,7091,10000,97.97,119.97,0,no,1
roku streaming stick 4k - hdr & dolby vision roku streaming device for tv with voice remote & long-range wi-fi - free & live tv,4.7,90262,10000,69.95,69.95,0,no,0
